,State,Women_age_15_and_above,Men_age_15_and_above
0,Andaman &Â  Nicobar,31.3,58.7
1,AP,3.8,22.6
2,Arunachal,18.8,50.3
3,Assam,22.1,51.8
4,Bihar,5.0,48.8
5,Chandigarh,0.6,12.1
6,Chattishgarh,17.3,43.1
7,D&N,2.9,38.6
8,Delhi,2.2,26.3
9,Goa,2.6,18.2
10,Gujarat,8.7,41.1
11,Haryana,2.5,29.1
12,Himachal Pradesh,1.7,32.3
13,J&K,3.6,38.3
14,Jharkhand,8.4,47.4
15,Karnataka,8.5,27.1
16,Kerala,2.2,16.9
17,Ladakh,3.2,35.7
18,Lakshadweep,17.5,28.5
19,Maharashtra,10.9,33.8
20,Manipur,43.1,58.1
21,Meghalaya,28.2,57.7
22,Mizoram,61.6,72.9
23,Madhya Pradesh,10.2,46.5
24,Nagaland,13.7,48.4
25,Odisha,26.0,51.6
26,Puducherry,2.6,14.8
27,Punjab,0.4,12.9
28,Rajasthan,6.9,42.0
29,Sikkim,11.7,41.3
30,Tamil Nadu,4.9,20.1
31,Telangana,5.6,22.3
32,Tripura,50.4,56.9
33,Uttar Pradesh,8.4,44.1
34,Uttarakhand,4.6,33.7
35,West Bengal,10.8,48.1
